z1,z2,hexcol,celltype,celltypeID,cellclass
-0.2526651,0.812363,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3329563,0.7041101,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.5628377,1.053258,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3128122,0.7411694,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3800594,0.9654148,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2552918,0.8141883,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2304937,0.8507956,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2657939,0.7463801,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2383787,0.8108453,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2716018,0.7580565,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3122291,0.6890169,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2289062,0.7871268,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.4196596,0.2290632,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3323433,0.7041394,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2830293,0.7743573,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3290407,0.8493661,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3011315,0.7074778,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3193308,0.7293039,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3148688,0.7580228,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2353961,0.9256939,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2817063,0.7421806,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2934616,0.8113683,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.513073,1.071439,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.4207923,1.11359,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2703082,0.8297675,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3181377,0.7321097,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3794388,0.5156038,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.315146,0.7383811,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2790441,0.7810489,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2482262,0.7941018,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2437404,0.7945827,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.3203115,0.7410353,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2680789,0.8072232,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.2845829,0.7262296,#ADE6A6,ALM L2/3 IT Macc1,55,0
-0.4059813,1.049455,#ADE6A6,ALM L2/3 IT Macc1,55,0
